,title,company,location,site
0,Specialist - Quality Engineering,LTIMindtree,"Jersey City, NJ, US",indeed
1,Lead Automation Test Engineer III,Berkshire Hathaway GUARD Insurance Companies,"Parsippany-Troy Hills, NJ, US",indeed
2,Automation Test Engineer II,Berkshire Hathaway GUARD Insurance Companies,"Parsippany-Troy Hills, NJ, US",indeed
3,FAA TFDM Junior V&V Tester,"LS Technologies, LLC","Atlantic City, NJ, US",indeed
4,CrowdStrike Automation Engineer,Openkyber,"NJ, US",indeed
5,QA Automation Tester,Mediterranean Shipping Company,"Warren, NJ, US",indeed
6,Compliance Analyst,Openkyber,"NJ, US",indeed
7,Workday Financials Trainee,Openkyber,"NJ, US",indeed
8,Java Trainer / Mentor / Educator,Openkyber,"NJ, US",indeed
9,SOC Lead / Team Lead,Openkyber,"NJ, US",indeed
10,IBM SOAR Automation Engineer,Openkyber,"NJ, US",indeed
11,Senior QA Lead - 15 years experience,"TWO95 International, Inc","NJ, US",indeed
12,QA Automation Engineer,Advent Infotech,"NJ, US",indeed
13,Test Architect/Sr. QA analyst,Zylog Systems Ltd,"Edison, NJ, US",indeed
14,QA Tester,Scout ET,"Jersey City, NJ, US",indeed
15,IBM SOAR Automation Engineer,Openkyber1.0,New Jersey,glassdoor_local
16,Java Trainer / Mentor / Educator,Openkyber1.0,New Jersey,glassdoor_local
17,Payments Quality Engineer - 6149521,Logic3.9,"Charlotte, NC",glassdoor_local
18,Payments Quality Engineer - 6149524,Accenture3.7,"Irving, TX",glassdoor_local
19,IBM SOAR Automation Engineer,Openkyber1.0,New Jersey,glassdoor_local
20,Java Trainer / Mentor / Educator,Openkyber1.0,New Jersey,glassdoor_local
21,Payments Quality Engineer - 6149521,Logic3.9,"Charlotte, NC",glassdoor_local
22,Payments Quality Engineer - 6149524,Accenture3.7,"Irving, TX",glassdoor_local
